n_nests,log_years_avail,entrance_size_cm,cavity_depth_cm,cavity_height_m,tree_diameter_cm,dist_forest_edge_m,tree_species,origin_species
22,2.6390573296152584,6.7,39,3.55,43,0,TremblingAspen,NorthernFlicker
20,2.833213344056216,5.8,14,1.43,32.1,13,TremblingAspen,NorthernFlicker
19,2.772588722239781,7.1,5.4,3.1,29.2,5,TremblingAspen,NorthernFlicker
18,2.70805020110221,5.8,21.5,3.49,30.9,15,TremblingAspen,NotExcavated
17,2.995732273553991,6,26.5,1.85,45,6,TremblingAspen,NorthernFlicker
17,2.833213344056216,6.7,30.5,1.7,30.8,7,TremblingAspen,NorthernFlicker
17,2.6390573296152584,3.5,37.4,1.98,30.6,10,TremblingAspen,NorthernFlicker
16,2.70805020110221,6.2,48,1.85,40.4,2,TremblingAspen,NorthernFlicker
15,2.4849066497880004,6,17,1.22,41.8,0,TremblingAspen,NorthernFlicker
15,2.772588722239781,6.4,25,3.01,33.7,0,TremblingAspen,NorthernFlicker
15,2.70805020110221,5.5,34.5,1.64,43.8,15,TremblingAspen,NorthernFlicker
14,2.6390573296152584,6.5,40,2.4,27.7,0,TremblingAspen,NorthernFlicker
14,2.772588722239781,6.3,30,4.15,35.3,0,TremblingAspen,NorthernFlicker
14,2.6390573296152584,6.1,45,2.93,33.7,2,TremblingAspen,NorthernFlicker
13,2.772588722239781,5.6,37,2.78,39.8,0,TremblingAspen,NorthernFlicker
13,2.5649493574615367,6.1,36,2.8,36.9,14,TremblingAspen,NorthernFlicker
13,2.833213344056216,6,13.5,1.62,36.9,10,TremblingAspen,NorthernFlicker
13,2.70805020110221,6.5,28,1.52,42.1,0,LodgepolePine,NorthernFlicker
13,2.9444389791664403,6.5,34,1.3,27.4,0,TremblingAspen,NorthernFlicker
13,2.8903717578961645,5.2,33.8,1.5,26.9,20,TremblingAspen,NorthernFlicker
12,2.9444389791664403,8.8,35,2.03,40.4,12,TremblingAspen,NorthernFlicker
12,2.4849066497880004,6.4,26,3.56,31.2,5,TremblingAspen,NorthernFlicker
12,2.8903717578961645,5.9,26,3.8,49,0,TremblingAspen,NorthernFlicker
12,2.6390573296152584,7.5,50,6.83,37.9,11,TremblingAspen,NorthernFlicker
12,2.6390573296152584,4.9,46,1.87,25.8,6,TremblingAspen,NorthernFlicker
11,2.6390573296152584,6,39,2.59,31.5,9,TremblingAspen,NorthernFlicker
11,2.4849066497880004,8,36,1.92,53.5,9,TremblingAspen,NorthernFlicker
11,2.302585092994046,3.5,10.5,2.79,26.4,10,TremblingAspen,RedNapedSapsucker
11,2.8903717578961645,6.4,13,4.66,31.8,30,TremblingAspen,NorthernFlicker
11,2.833213344056216,6.2,32.5,2.3,32.5,7,TremblingAspen,NorthernFlicker
11,2.5649493574615367,7.5,25,2,23.7,0,TremblingAspen,NorthernFlicker
11,2.5649493574615367,6,36,3.21,36.6,3,TremblingAspen,NorthernFlicker
11,2.5649493574615367,6,36,3.21,36.6,3,TremblingAspen,NorthernFlicker
11,2.5649493574615367,6.1,32,2.08,57.3,0,TremblingAspen,NorthernFlicker
11,2.4849066497880004,7,38,3.98,34.4,6,TremblingAspen,NorthernFlicker
11,2.5649493574615367,5.9,38,1.72,30.9,12,TremblingAspen,NorthernFlicker
11,2.995732273553991,6,40,2.6,36.6,4,LodgepolePine,NorthernFlicker
11,2.772588722239781,6.6,41,3.26,42,0,TremblingAspen,NorthernFlicker
11,2.5649493574615367,7.6,16,2.33,28.6,0,TremblingAspen,NorthernFlicker
11,2.3978952727983707,6.9,26,4.04,37.2,8,TremblingAspen,NorthernFlicker
10,2.70805020110221,6.8,36,5.54,28.6,40,TremblingAspen,NorthernFlicker
10,2.302585092994046,6,37,3,43.7,0,TremblingAspen,NorthernFlicker
10,2.8903717578961645,7.1,36,2.42,37.9,0,LodgepolePine,NorthernFlicker
10,2.833213344056216,6.5,22.5,1,50,4,TremblingAspen,NorthernFlicker
10,2.833213344056216,8.2,35,2.76,30.8,7,TremblingAspen,NorthernFlicker
10,2.833213344056216,3.7,21,4.95,25,6,TremblingAspen,RedNapedSapsucker
10,2.70805020110221,6.1,43,1.35,31.2,0,LodgepolePine,NorthernFlicker
10,2.6390573296152584,6.6,32,2.31,42.3,13,TremblingAspen,NorthernFlicker
10,2.3978952727983707,6,36,5.73,58.9,0,TremblingAspen,NorthernFlicker
10,2.302585092994046,6.5,35,1.5,33.4,0,TremblingAspen,NorthernFlicker
10,2.9444389791664403,7.6,47,1.73,31.8,10,TremblingAspen,NorthernFlicker
10,2.70805020110221,6.9,36,4.23,32.1,20,TremblingAspen,NorthernFlicker
10,2.5649493574615367,7.4,36,2.92,41.4,0,TremblingAspen,NorthernFlicker
10,2.5649493574615367,6.3,34,3.82,38.2,22,TremblingAspen,NorthernFlicker
10,2.4849066497880004,5.8,37,1.86,33.4,15,TremblingAspen,NorthernFlicker
9,2.6390573296152584,6.6,47,2.54,31.2,6,TremblingAspen,NorthernFlicker
9,2.4849066497880004,6.2,42,2.51,43.3,0,TremblingAspen,NorthernFlicker
9,2.1972245773362196,5.9,29,4.61,34.7,6,TremblingAspen,NorthernFlicker
9,2.70805020110221,6.5,40,1.8,31.7,12,TremblingAspen,NorthernFlicker
9,2.70805020110221,6.4,38,1.58,34.7,15,TremblingAspen,NorthernFlicker
9,2.70805020110221,6,36,3.2,32.1,5,TremblingAspen,NorthernFlicker
9,2.6390573296152584,6.6,34,3.57,31.8,15,TremblingAspen,NorthernFlicker
9,2.5649493574615367,6.5,42,3.2,57.3,7,TremblingAspen,NorthernFlicker
9,2.3978952727983707,5.4,35,3.77,24.8,16,TremblingAspen,NorthernFlicker
9,2.302585092994046,5.9,41,2.47,39.8,0,TremblingAspen,NorthernFlicker
9,2.1972245773362196,7,39,2.33,29.6,0,TremblingAspen,NorthernFlicker
9,2.8903717578961645,3.4,15.6,2.5,24.3,5,TremblingAspen,HairyWoodpecker
9,2.833213344056216,6,31,3.59,37.9,7,TremblingAspen,NorthernFlicker
9,2.772588722239781,6.7,39,1.3,39.8,0,TremblingAspen,NorthernFlicker
9,2.6390573296152584,5.7,41,4.73,31.7,10,TremblingAspen,NorthernFlicker
9,2.6390573296152584,4.7,21,2.82,29.8,13,TremblingAspen,RedNapedSapsucker
9,2.5649493574615367,5.9,9.5,3.21,28.1,11,TremblingAspen,NorthernFlicker
9,2.5649493574615367,7.5,50,0.99,48.7,0,TremblingAspen,NorthernFlicker
9,2.4849066497880004,7,37,1.99,24.8,0,TremblingAspen,NorthernFlicker
9,2.4849066497880004,6.7,43,4.74,39.2,0,TremblingAspen,NorthernFlicker
9,2.302585092994046,6.5,30,2.11,27.1,0,TremblingAspen,NorthernFlicker
9,2.302585092994046,6.8,46,1.87,44.6,0,TremblingAspen,NorthernFlicker
9,2.302585092994046,6,33,4.85,20.4,0,TremblingAspen,NorthernFlicker
9,2.1972245773362196,6.5,44,3.19,36,12,TremblingAspen,NorthernFlicker
9,2.1972245773362196,6.6,36,2.92,26.4,26,TremblingAspen,NorthernFlicker
9,1.9459101490553132,3.8,17,4,52.1,5,TremblingAspen,RedNapedSapsucker
9,2.772588722239781,6.2,25.5,2.01,52.4,8,TremblingAspen,NorthernFlicker
9,2.70805020110221,6.5,40,1.64,37.9,10,TremblingAspen,NorthernFlicker
9,2.4849066497880004,8.8,26,3.13,38.2,18,TremblingAspen,NorthernFlicker
9,2.302585092994046,7.1,44,3.99,45.8,17,TremblingAspen,NorthernFlicker
9,2.1972245773362196,6.1,52,3.6,22.4,3,TremblingAspen,NorthernFlicker
9,2.1972245773362196,7,40,3,53.5,9,TremblingAspen,NorthernFlicker
9,2.302585092994046,5.5,8,0.81,49,10,TremblingAspen,NotExcavated
8,2.6390573296152584,6.7,33,2.41,40.7,14,TremblingAspen,NorthernFlicker
8,2.0794415416798357,6.3,47,3.49,29,1,TremblingAspen,NorthernFlicker
8,2.833213344056216,6.8,41,1.96,50.9,9,TremblingAspen,NorthernFlicker
8,2.772588722239781,4.5,19.5,2.71,25.3,9,TremblingAspen,RedNapedSapsucker
8,2.772588722239781,6,49,5.93,33.1,16,TremblingAspen,NorthernFlicker
8,2.70805020110221,6.2,34,4.57,36,21,TremblingAspen,NorthernFlicker
8,2.6390573296152584,7.5,40,2.28,50.9,10,TremblingAspen,NorthernFlicker
8,2.6390573296152584,6.4,38,4.94,33.4,15,TremblingAspen,NorthernFlicker
8,2.5649493574615367,7,37,3.3,35,20,TremblingAspen,NorthernFlicker
8,2.4849066497880004,6.6,32,2.77,46.2,16,TremblingAspen,NorthernFlicker
8,2.3978952727983707,8,31,2.19,51.9,0,TremblingAspen,NorthernFlicker
8,2.3978952727983707,6.5,30,2.5,27.1,8,TremblingAspen,NorthernFlicker
8,2.3978952727983707,6.2,41,2.49,32.5,9,TremblingAspen,NorthernFlicker
8,2.1972245773362196,4.5,22,4.28,25.3,0,TremblingAspen,HairyWoodpecker
8,2.9444389791664403,6.2,37,1.47,34.4,0,TremblingAspen,NorthernFlicker
8,2.70805020110221,6.5,36,3.94,30.9,0,TremblingAspen,NorthernFlicker
8,2.70805020110221,6.4,42,1.82,45.5,8,TremblingAspen,NorthernFlicker
8,2.6390573296152584,6.1,45,5.03,38.8,6,TremblingAspen,NorthernFlicker
8,2.4849066497880004,7.2,41,3.84,23.6,11,TremblingAspen,NorthernFlicker
8,2.302585092994046,7.4,32,5.6,31.8,16,TremblingAspen,NorthernFlicker
8,2.302585092994046,5,36,1.27,33.7,0,TremblingAspen,NorthernFlicker
8,2.1972245773362196,5,26,3.07,25,10,TremblingAspen,NotExcavated
8,2.1972245773362196,5.9,32,1.84,32.5,0,TremblingAspen,NorthernFlicker
8,2.1972245773362196,5.5,38,4.1,42.3,19,TremblingAspen,NorthernFlicker
8,2.0794415416798357,6.5,38,1.52,27.4,19,TremblingAspen,NorthernFlicker
8,2.0794415416798357,6.2,36,4.9,57.6,0,TremblingAspen,NorthernFlicker
8,1.791759469228055,4.5,21,2.27,22.8,40,TremblingAspen,HairyWoodpecker
8,2.833213344056216,5,32,2.92,38.5,0,TremblingAspen,NorthernFlicker
8,2.70805020110221,5.9,44,1.29,36.3,0,TremblingAspen,NorthernFlicker
8,2.6390573296152584,6.5,39,4.55,31.2,3,TremblingAspen,NorthernFlicker
8,2.4849066497880004,3,9,1.45,20.9,14,TremblingAspen,RedBreastedNuthatch
8,2.4849066497880004,6.3,38,1.68,26.4,24,TremblingAspen,NorthernFlicker
8,2.3978952727983707,9.6,41,5.26,34.4,0,TremblingAspen,NorthernFlicker
8,2.3978952727983707,7.4,30,1.64,52.2,0,TremblingAspen,NorthernFlicker
8,2.302585092994046,8.1,34,3.2,32.1,0,TremblingAspen,NorthernFlicker
8,2.1972245773362196,5.5,31,3.47,38.8,0,TremblingAspen,NorthernFlicker
8,2.0794415416798357,6.9,32,2.23,35.7,0,TremblingAspen,NorthernFlicker
8,2.0794415416798357,7.1,35,2.49,24.8,2,TremblingAspen,NorthernFlicker
8,1.791759469228055,6.2,40,1.58,36.6,0,TremblingAspen,NorthernFlicker
8,2.5649493574615367,6.1,37,4.75,25.8,8,TremblingAspen,NorthernFlicker
8,2.5649493574615367,6.3,36,1.58,60.5,18,TremblingAspen,NorthernFlicker
8,2.4849066497880004,5.3,21,1.1,45.5,0,LodgepolePine,NorthernFlicker
8,2.302585092994046,5.7,47,2.36,29.6,18,TremblingAspen,NorthernFlicker
8,2.1972245773362196,6.6,47,4.05,32.5,0,TremblingAspen,NorthernFlicker
8,2.0794415416798357,3,23,0.8,62.3,0,LodgepolePine,NotExcavated
7,2.3978952727983707,6.1,32,3.62,33.1,5,TremblingAspen,NorthernFlicker
7,2.1972245773362196,9,49,5.6,43.9,17,TremblingAspen,NorthernFlicker
7,2.4849066497880004,3.5,20,3.23,31.4,12,TremblingAspen,RedNapedSapsucker
7,2.3978952727983707,2.9,10.2,2.68,19.8,0,TremblingAspen,DownyWoodpecker
7,2.3978952727983707,6,36,2.38,40.4,2,TremblingAspen,NorthernFlicker
7,2.302585092994046,7.5,65,2.16,22.6,2,TremblingAspen,NorthernFlicker
7,2.1972245773362196,5.9,33,2.08,39.2,4,TremblingAspen,NorthernFlicker
7,2.1972245773362196,6.7,36,4.84,33.4,0,TremblingAspen,NorthernFlicker
7,2.0794415416798357,6.1,28,2.16,36.6,8,TremblingAspen,NorthernFlicker
7,2.0794415416798357,6.3,50,4.61,23.6,0,TremblingAspen,NorthernFlicker
7,1.9459101490553132,3,18,4.2,17.8,15,TremblingAspen,DownyWoodpecker
7,1.9459101490553132,6.1,31,1.16,25.1,0,TremblingAspen,NorthernFlicker
7,2.8903717578961645,6.2,38,2,38.2,6,TremblingAspen,NorthernFlicker
7,2.833213344056216,8,9.5,2.73,36.7,0,TremblingAspen,NorthernFlicker
7,2.772588722239781,9,34,4.32,44.6,22,TremblingAspen,NorthernFlicker
7,2.70805020110221,5.8,115,1.9,55.3,6,TremblingAspen,NorthernFlicker
7,2.70805020110221,5.8,52,5.62,28,12,TremblingAspen,NorthernFlicker
7,2.70805020110221,6.3,51,1.66,37.2,10,TremblingAspen,NorthernFlicker
7,2.4849066497880004,6,28.5,0.69,27.5,0,TremblingAspen,NorthernFlicker
7,2.3978952727983707,6.7,29,1.88,25.5,12,TremblingAspen,NorthernFlicker
7,2.302585092994046,5,21,5.81,34.3,25,TremblingAspen,HairyWoodpecker
7,2.302585092994046,6.8,33,4.96,43.3,8,TremblingAspen,NorthernFlicker
7,2.302585092994046,6.5,35,3.27,62.4,0,TremblingAspen,NorthernFlicker
7,2.1972245773362196,3.5,14,2.3,28.5,25,TremblingAspen,RedNapedSapsucker
7,2.1972245773362196,5.5,30,4.04,49.7,0,TremblingAspen,NorthernFlicker
7,2.1972245773362196,6.6,32,1.32,32.1,0,TremblingAspen,NorthernFlicker
7,2.1972245773362196,5.5,31,4.26,37.6,0,TremblingAspen,NorthernFlicker
7,2.0794415416798357,6,30,4.48,36,8,TremblingAspen,NorthernFlicker
7,2.0794415416798357,5.6,48,3.86,34.4,9,TremblingAspen,NorthernFlicker
7,1.9459101490553132,6.6,31,4.14,27.7,5,TremblingAspen,NorthernFlicker
7,1.9459101490553132,7,32,2.67,29.9,30,TremblingAspen,NorthernFlicker
7,1.791759469228055,4,23,3.65,27.3,0,TremblingAspen,RedNapedSapsucker
7,1.791759469228055,5.5,25,2.43,45,15,TremblingAspen,NorthernFlicker
7,2.70805020110221,6.2,49,1.6,31.5,18,TremblingAspen,NorthernFlicker
7,2.6390573296152584,6,35,1.92,32.5,6,TremblingAspen,NorthernFlicker
7,2.3978952727983707,5.6,8.5,4.75,20.1,10,TremblingAspen,NorthernFlicker
7,2.3978952727983707,5.9,37,3.57,28.6,2,TremblingAspen,NorthernFlicker
7,2.302585092994046,5.4,37,1.98,34.7,10,TremblingAspen,NorthernFlicker
7,2.302585092994046,5.8,45,3.06,35.7,0,TremblingAspen,NorthernFlicker
7,2.1972245773362196,5.9,46,1.93,31.4,4,TremblingAspen,NorthernFlicker
7,2.1972245773362196,6,41,1.27,36,0,TremblingAspen,NorthernFlicker
7,2.1972245773362196,7.3,7,3.92,29.9,0,TremblingAspen,NorthernFlicker
7,2.1972245773362196,6.5,48,2.85,33.7,7,TremblingAspen,NorthernFlicker
7,2.1972245773362196,5.5,46,0.89,28.6,0,TremblingAspen,NorthernFlicker
7,2.0794415416798357,7.3,45,2.04,34.7,11,TremblingAspen,NorthernFlicker
7,2.0794415416798357,5.8,34,6.14,33.7,8,TremblingAspen,NorthernFlicker
7,1.9459101490553132,7.5,32,3.1,27.6,0,TremblingAspen,NorthernFlicker
7,1.9459101490553132,5.5,45,1.96,23.9,0,TremblingAspen,NorthernFlicker
7,1.9459101490553132,5.4,26,1.49,30.6,0,TremblingAspen,NorthernFlicker
7,1.791759469228055,6.5,37.5,1.92,26.3,10,TremblingAspen,NorthernFlicker
7,2.70805020110221,6.1,45,1.86,34.2,15,TremblingAspen,NorthernFlicker
7,2.70805020110221,6.8,34,1.1,31.2,2,TremblingAspen,NorthernFlicker
7,2.5649493574615367,6.1,45,1.86,34.4,15,TremblingAspen,NorthernFlicker
7,2.5649493574615367,7.8,36,3,27.4,0,TremblingAspen,NorthernFlicker
7,2.4849066497880004,5,8.5,1.28,26.1,10,TremblingAspen,NorthernFlicker
7,2.4849066497880004,5.8,41,2.4,22.3,4,TremblingAspen,NorthernFlicker
7,2.0794415416798357,6.6,34,2.04,22.6,17,TremblingAspen,NorthernFlicker
6,2.4849066497880004,7.4,36,3.29,29.9,7,TremblingAspen,NorthernFlicker
6,2.3978952727983707,6.1,38,1.25,35.4,5,TremblingAspen,NorthernFlicker
6,2.3978952727983707,6,38,3.12,43.3,2,TremblingAspen,NorthernFlicker
6,2.302585092994046,4.5,21,4.15,35.9,5,TremblingAspen,HairyWoodpecker
6,2.0794415416798357,6.5,40,1.44,23.9,0,TremblingAspen,NorthernFlicker
6,1.9459101490553132,6,35,2.87,57.6,0,TremblingAspen,NorthernFlicker
6,1.9459101490553132,6.2,33,2.34,46.8,0,TremblingAspen,NorthernFlicker
6,1.791759469228055,5.6,41,3.7,37.2,0,TremblingAspen,NorthernFlicker
6,1.3862943611198906,3.8,12.5,3.23,26.5,8,TremblingAspen,RedNapedSapsucker
6,2.70805020110221,7.8,35,5.17,40.4,0,TremblingAspen,NorthernFlicker
6,2.6390573296152584,5.9,42,4.1,34.7,6,TremblingAspen,NorthernFlicker
6,2.6390573296152584,7.5,40,2.29,50.6,12,TremblingAspen,NorthernFlicker
6,2.4849066497880004,5.5,35,3.52,43.8,3,TremblingAspen,NorthernFlicker
6,2.4849066497880004,6,43,2.25,44.6,0,TremblingAspen,NorthernFlicker
6,2.3978952727983707,5,25.4,2.62,23.4,16,TremblingAspen,RedNapedSapsucker
6,2.3978952727983707,6,36,4.04,40.1,14,TremblingAspen,NorthernFlicker
6,2.302585092994046,4,11,1.8,20.4,0,TremblingAspen,RedNapedSapsucker
6,2.302585092994046,6.5,31,3.42,26.7,2,TremblingAspen,NorthernFlicker
6,2.1972245773362196,5.9,28.5,1.94,51.6,10,TremblingAspen,NorthernFlicker
6,2.1972245773362196,6.2,45,1.89,31.5,0,TremblingAspen,NorthernFlicker
6,2.1972245773362196,5.6,25,2.59,23.2,20,TremblingAspen,NorthernFlicker
6,2.1972245773362196,6.5,36,1.41,36.6,0,LodgepolePine,NorthernFlicker
6,2.1972245773362196,8.1,35,4.66,32.8,16,TremblingAspen,NorthernFlicker
6,2.1972245773362196,5.9,33,3.54,51.2,7,TremblingAspen,NorthernFlicker
6,2.0794415416798357,4,18.5,4.35,29.9,0,TremblingAspen,HairyWoodpecker
6,2.0794415416798357,6.1,29,4,53.9,15,TremblingAspen,NorthernFlicker
6,2.0794415416798357,6.3,38,1.19,27.4,0,TremblingAspen,NorthernFlicker
6,2.0794415416798357,7,45,2.85,28,10,TremblingAspen,NorthernFlicker
6,2.0794415416798357,6.1,34,3.45,26.7,30,TremblingAspen,NorthernFlicker
6,2.0794415416798357,6.6,35,2.75,29,20,TremblingAspen,NorthernFlicker
6,2.0794415416798357,6,35,2.38,28.6,25,TremblingAspen,NorthernFlicker
6,2.0794415416798357,7,35,3.15,32.1,0,TremblingAspen,NorthernFlicker
6,1.9459101490553132,6.8,29,3.4,21.5,3,TremblingAspen,NorthernFlicker
6,1.9459101490553132,6.8,19,3.23,40.1,18,TremblingAspen,NorthernFlicker
6,1.9459101490553132,5.9,45,5.4,27.4,7,TremblingAspen,NorthernFlicker
6,1.791759469228055,4,22,4.4,30.7,20,TremblingAspen,RedNapedSapsucker
6,1.791759469228055,7.6,34,1.82,35.7,0,TremblingAspen,NorthernFlicker
6,1.791759469228055,5.7,30,1.72,25.8,17,TremblingAspen,NorthernFlicker
6,1.6094379124341003,5.5,40.6,2.2,36.5,0,TremblingAspen,NorthernFlicker
6,1.6094379124341003,6.5,16,1.9,29.8,0,TremblingAspen,NorthernFlicker
6,2.9444389791664403,6.2,25,1.92,43.3,2,TremblingAspen,NorthernFlicker
6,2.833213344056216,5.7,28,3.63,32.1,0,TremblingAspen,NorthernFlicker
6,2.772588722239781,3.5,16,3.57,32.3,13,TremblingAspen,RedNapedSapsucker
6,2.5649493574615367,5.9,53,1.43,49.7,8,TremblingAspen,NorthernFlicker
6,2.5649493574615367,5.8,32,2.6,30.2,18,TremblingAspen,NorthernFlicker
6,2.4849066497880004,5.8,49,4.85,33.1,22,TremblingAspen,NorthernFlicker
6,2.3978952727983707,3.5,12.9,4.27,22.2,15,TremblingAspen,DownyWoodpecker
6,2.3978952727983707,7.3,32,2.42,33.7,25,TremblingAspen,NorthernFlicker
6,2.302585092994046,5.5,11,1.23,31,20,TremblingAspen,NorthernFlicker
6,2.302585092994046,6.1,32,3.8,34.4,10,TremblingAspen,NorthernFlicker
6,2.302585092994046,6.2,38,1.14,30.6,0,TremblingAspen,NorthernFlicker
6,2.302585092994046,7.3,37,5.83,33.4,10,TremblingAspen,NorthernFlicker
6,2.1972245773362196,4,18,2.79,28,15,TremblingAspen,RedNapedSapsucker
6,2.1972245773362196,6.1,37.9,1.22,27.4,10,TremblingAspen,NorthernFlicker
6,2.1972245773362196,5,14,4,32.9,5,TremblingAspen,RedNapedSapsucker
6,2.1972245773362196,6.9,44,5.03,40.4,4,TremblingAspen,NorthernFlicker
6,2.1972245773362196,5.8,31,3.45,24.2,1,TremblingAspen,NorthernFlicker
6,2.0794415416798357,6.8,39.5,1.06,25.7,9,TremblingAspen,NorthernFlicker
6,2.0794415416798357,6.5,27,5.31,32.5,0,TremblingAspen,NorthernFlicker
6,2.0794415416798357,5.9,32,3.93,54.1,0,TremblingAspen,NorthernFlicker
6,1.9459101490553132,6.2,28,4,34.7,8,TremblingAspen,NorthernFlicker
6,1.9459101490553132,6.1,49,3.42,29.6,10,TremblingAspen,NorthernFlicker
6,1.791759469228055,5.7,32,6.7,37.6,12,TremblingAspen,NorthernFlicker
6,1.791759469228055,6.1,33,1.7,40.1,9,TremblingAspen,NorthernFlicker
6,1.791759469228055,6.5,43,5.42,33.1,2,TremblingAspen,NorthernFlicker
6,1.791759469228055,6,37,3.37,32.5,27,TremblingAspen,NorthernFlicker
6,2.70805020110221,6.1,48,1.36,39.2,4,TremblingAspen,NorthernFlicker
6,2.302585092994046,7.6,34,5.29,53.2,0,LodgepolePine,NorthernFlicker
6,2.1972245773362196,5.8,41,1.67,29,0,TremblingAspen,NorthernFlicker
6,2.1972245773362196,8,29,3.75,27.1,0,TremblingAspen,NorthernFlicker
6,1.9459101490553132,6.5,50,2.85,31.5,0,TremblingAspen,NorthernFlicker
6,1.791759469228055,6.5,29,1.67,40.7,5,TremblingAspen,NorthernFlicker
5,2.5649493574615367,6.3,37.6,1.61,38.8,10,TremblingAspen,NorthernFlicker
5,2.5649493574615367,7.5,56,1.92,34.4,12,TremblingAspen,NorthernFlicker
5,2.1972245773362196,8.9,43,2.88,42.3,10,TremblingAspen,NorthernFlicker
5,2.0794415416798357,5.7,67,2.96,45.5,0,TremblingAspen,NorthernFlicker
5,1.9459101490553132,4.5,21.4,4.13,35.5,19,TremblingAspen,RedNapedSapsucker
5,1.6094379124341003,6.3,41,2.86,35.3,17,TremblingAspen,NorthernFlicker
5,1.3862943611198906,3.2,16.5,4.27,17.4,0,TremblingAspen,BlackCappedChickadee
5,2.833213344056216,6,38,1.69,28.3,10,TremblingAspen,NorthernFlicker
5,2.5649493574615367,3.5,16,2.85,24.8,15,TremblingAspen,RedNapedSapsucker
5,2.5649493574615367,6,49,1.42,33.4,11,TremblingAspen,NorthernFlicker
5,2.5649493574615367,6.4,32,5.02,35.7,11,TremblingAspen,NorthernFlicker
5,2.5649493574615367,6.5,43,1.36,42.7,1,TremblingAspen,NorthernFlicker
5,2.5649493574615367,6.4,23,5.71,32.5,5,TremblingAspen,NorthernFlicker
5,2.4849066497880004,9.1,47,2.08,28.6,18,TremblingAspen,NorthernFlicker
5,2.4849066497880004,5.6,38,3.14,32.1,7,TremblingAspen,NorthernFlicker
5,2.3978952727983707,6.5,37.5,2.85,30.1,8,TremblingAspen,NorthernFlicker
5,2.3978952727983707,6.4,47,3.64,36.6,15,TremblingAspen,NorthernFlicker
5,2.3978952727983707,5.8,39,1.2,21.6,7,TremblingAspen,NorthernFlicker
5,2.302585092994046,8,36,4.21,34.1,8,TremblingAspen,NorthernFlicker
5,2.302585092994046,6,33,2.87,57.6,23,TremblingAspen,NorthernFlicker
5,2.302585092994046,6.5,32,5.14,33.4,7,TremblingAspen,NorthernFlicker
5,2.1972245773362196,4,19.7,3.85,21.7,0,TremblingAspen,ThreeToedWoodpecker
5,2.1972245773362196,7,20.5,2.41,22.8,0,TremblingAspen,HairyWoodpecker
5,2.1972245773362196,6.9,27,1.19,38.8,9,TremblingAspen,NorthernFlicker
5,2.1972245773362196,6.9,30,5.8,37.9,21,TremblingAspen,NorthernFlicker
5,2.1972245773362196,6.2,52,1.43,22.9,8,TremblingAspen,NorthernFlicker
5,2.1972245773362196,6.4,45,3.36,22.9,1,TremblingAspen,NorthernFlicker
5,2.0794415416798357,5.9,42,2.89,27.7,5,TremblingAspen,NorthernFlicker
5,2.0794415416798357,6.4,41,2.62,36.9,15,TremblingAspen,NorthernFlicker
5,2.0794415416798357,7.2,34,1.61,35.3,16,TremblingAspen,NorthernFlicker
5,1.9459101490553132,5,25.5,3.2,28.3,20,TremblingAspen,HairyWoodpecker
5,1.9459101490553132,6.7,30,4.18,39.5,3,TremblingAspen,NorthernFlicker
5,1.9459101490553132,6.8,40,2.2,40.4,25,TremblingAspen,NorthernFlicker
5,1.791759469228055,3.5,18,3.45,17.2,15,TremblingAspen,DownyWoodpecker
5,1.791759469228055,3.5,29.8,3.19,23.4,10,TremblingAspen,RedNapedSapsucker
5,1.791759469228055,3.5,8,1.17,34.1,15,TremblingAspen,RedBreastedNuthatch
5,1.791759469228055,4,18,4.1,27.6,50,TremblingAspen,RedNapedSapsucker
