n_nests,log_years_avail,entrance_size_cm,cavity_depth_cm,cavity_height_m,tree_diameter_cm,dist_forest_edge_m,tree_species,origin_species
5,1.791759469228055,5.1,59,3.78,29.6,0,TremblingAspen,NorthernFlicker
5,1.791759469228055,6,33,4.66,37.6,0,LodgepolePine,NorthernFlicker
5,1.791759469228055,6.3,32,5.16,29.3,12,TremblingAspen,NorthernFlicker
5,1.791759469228055,6.6,30,3.51,23.6,51,TremblingAspen,NorthernFlicker
5,1.791759469228055,6.1,41,3.56,43,11,TremblingAspen,NorthernFlicker
5,1.6094379124341003,5,32,3.7,18.5,0,TremblingAspen,HairyWoodpecker
5,1.6094379124341003,4,22,3,18,0,TremblingAspen,RedNapedSapsucker
5,2.772588722239781,5.4,30,2.53,36.3,4,TremblingAspen,NorthernFlicker
5,2.70805020110221,7.5,35,2.6,40.4,0,TremblingAspen,NorthernFlicker
5,2.70805020110221,6,32,3.05,30.2,18,TremblingAspen,NorthernFlicker
5,2.5649493574615367,7,38,1.51,30.6,7,TremblingAspen,NorthernFlicker
5,2.5649493574615367,5,32,3.02,22.3,1,TremblingAspen,NorthernFlicker
5,2.4849066497880004,6,25,1.75,36.6,10,TremblingAspen,NorthernFlicker
5,2.4849066497880004,3.7,16.5,2.74,36.2,16,TremblingAspen,NotExcavated
5,2.4849066497880004,6,50,1.69,36.6,6,TremblingAspen,NorthernFlicker
5,2.3978952727983707,6.8,22,2.2,40.3,5,TremblingAspen,NorthernFlicker
5,2.3978952727983707,7,46,1.59,31.4,11,TremblingAspen,NorthernFlicker
5,2.3978952727983707,7.2,29,3.54,25.5,8,TremblingAspen,NorthernFlicker
5,2.3978952727983707,5.8,33,4.38,29,0,TremblingAspen,NorthernFlicker
5,2.302585092994046,4.5,12.5,1.85,21.7,5,TremblingAspen,RedNapedSapsucker
5,2.302585092994046,4,17.7,4.97,28.2,0,TremblingAspen,ThreeToedWoodpecker
5,2.302585092994046,7,10,3.6,48.8,20,TremblingAspen,NorthernFlicker
5,2.302585092994046,6,18,2.05,36.1,15,TremblingAspen,NorthernFlicker
5,2.302585092994046,8.5,44,1.82,39.8,16,TremblingAspen,NorthernFlicker
5,2.302585092994046,6.2,33,1.53,29.3,15,TremblingAspen,NorthernFlicker
5,2.302585092994046,6,38,2.33,35.3,0,TremblingAspen,NorthernFlicker
5,2.302585092994046,6.7,40,3.48,26.4,10,TremblingAspen,NorthernFlicker
5,2.1972245773362196,5.4,12,1.05,74.4,10,TremblingAspen,NotExcavated
5,2.1972245773362196,7,26,2.04,38.2,0,TremblingAspen,NorthernFlicker
5,2.1972245773362196,6.7,42,4.46,36.6,24,TremblingAspen,NorthernFlicker
5,2.1972245773362196,6,33,3.85,45.5,12,TremblingAspen,NorthernFlicker
5,2.0794415416798357,4,19.5,3.66,28.5,0,TremblingAspen,RedNapedSapsucker
5,2.0794415416798357,6,40,1.39,37.1,5,TremblingAspen,NorthernFlicker
5,2.0794415416798357,5.2,0,1.41,24.5,11,LodgepolePine,NotExcavated
5,2.0794415416798357,5.7,35,5.16,44.6,0,TremblingAspen,NorthernFlicker
5,2.0794415416798357,6.7,38,4.37,39.8,5,LodgepolePine,NorthernFlicker
5,1.9459101490553132,4.5,19,5,33,0,TremblingAspen,RedNapedSapsucker
5,1.9459101490553132,2.3,7,2.9,21.9,35,TremblingAspen,NotExcavated
5,1.9459101490553132,5.7,38,5.82,32.5,0,TremblingAspen,NorthernFlicker
5,1.9459101490553132,6.8,44,3.52,52.5,12,TremblingAspen,NorthernFlicker
5,1.9459101490553132,6.8,33,2.82,24.2,42,TremblingAspen,NorthernFlicker
5,1.791759469228055,2,10,3.01,36.3,100,TremblingAspen,RedBreastedNuthatch
5,1.791759469228055,7,62,2.43,36.9,9,TremblingAspen,NorthernFlicker
5,1.791759469228055,6.8,46,3.48,38.2,5,TremblingAspen,NorthernFlicker
5,1.791759469228055,5.5,45,5,42,0,TremblingAspen,NorthernFlicker
5,1.791759469228055,5.6,44,3.25,37.6,16,TremblingAspen,NorthernFlicker
5,1.6094379124341003,3.1,9.5,7,26,10,TremblingAspen,RedBreastedNuthatch
5,1.6094379124341003,5.9,43,6.46,37.2,0,TremblingAspen,NorthernFlicker
5,1.6094379124341003,7,38,3.35,32.5,0,TremblingAspen,NorthernFlicker
5,1.6094379124341003,6.7,41,5.54,31.2,5,TremblingAspen,NorthernFlicker
5,1.3862943611198906,3.7,19,3.23,27.5,15,TremblingAspen,RedNapedSapsucker
5,2.833213344056216,6.5,41,4.18,25.1,0,TremblingAspen,NorthernFlicker
5,2.70805020110221,6,52,3.5,34.7,7,TremblingAspen,NorthernFlicker
5,2.1972245773362196,7,14.5,3.72,33.9,5,TremblingAspen,NorthernFlicker
5,2.1972245773362196,6.6,37,3.49,38.8,19,TremblingAspen,NorthernFlicker
5,2.0794415416798357,6,43,4.09,46.2,11,LodgepolePine,NorthernFlicker
5,2.0794415416798357,6.6,30,4.76,44.2,13,TremblingAspen,NorthernFlicker
5,1.9459101490553132,5.4,24.2,2.1,46.4,0,TremblingAspen,NorthernFlicker
5,1.9459101490553132,6.2,31,4.69,34.4,15,TremblingAspen,NorthernFlicker
5,1.791759469228055,6.5,39,1.35,42,0,LodgepolePine,NorthernFlicker
5,1.6094379124341003,6.4,27,4.93,37.2,7,TremblingAspen,NorthernFlicker
4,1.791759469228055,6.5,33,2.34,32.8,6,TremblingAspen,NorthernFlicker
4,2.70805020110221,6.4,37,4.16,36,16,TremblingAspen,NorthernFlicker
4,2.5649493574615367,5.8,12.6,0.85,39,0,TremblingAspen,NorthernFlicker
4,2.4849066497880004,7.2,27,2,38.8,0,TremblingAspen,NorthernFlicker
4,2.4849066497880004,6.1,41,3.58,44.6,21,TremblingAspen,NorthernFlicker
4,2.3978952727983707,3.5,21,3.34,56.2,6,TremblingAspen,RedNapedSapsucker
4,2.3978952727983707,6.1,29,4,52.8,9,TremblingAspen,NorthernFlicker
4,2.3978952727983707,5.8,29,5.81,33.7,17,TremblingAspen,NorthernFlicker
4,2.302585092994046,6.5,18,1.84,29.1,0,LodgepolePine,ThreeToedWoodpecker
4,2.302585092994046,7,29,0.94,32.5,0,TremblingAspen,NorthernFlicker
4,2.302585092994046,8.4,48,5.12,27.1,0,TremblingAspen,NorthernFlicker
4,2.302585092994046,6,33,2,30.6,6,TremblingAspen,NorthernFlicker
4,2.1972245773362196,6.5,42,3.9,22.4,0,TremblingAspen,PileatedWoodpecker
4,2.0794415416798357,4.8,33,1.07,43.3,20,TremblingAspen,NorthernFlicker
4,1.9459101490553132,7.5,42,3.18,41.1,12,TremblingAspen,NorthernFlicker
4,1.9459101490553132,6.6,32,2.36,48.4,10,TremblingAspen,NorthernFlicker
4,1.9459101490553132,5.6,37,2.24,34.1,58,TremblingAspen,NorthernFlicker
4,1.9459101490553132,7.3,46,1.84,27.1,26,TremblingAspen,NorthernFlicker
4,1.9459101490553132,6.3,41,2.26,42,9,TremblingAspen,NorthernFlicker
4,1.791759469228055,5.5,12.5,4.25,24.6,0,TremblingAspen,HairyWoodpecker
4,1.791759469228055,5.7,37.7,4.7,29.2,0,TremblingAspen,NorthernFlicker
4,1.791759469228055,6.5,51,1.54,23.9,7,TremblingAspen,NorthernFlicker
4,1.791759469228055,8.8,37,6.27,31.5,1,TremblingAspen,NorthernFlicker
4,1.791759469228055,7.6,51,5.15,37.2,8,TremblingAspen,NorthernFlicker
4,1.791759469228055,5.8,21,4.89,43,10,TremblingAspen,NorthernFlicker
4,1.791759469228055,7,33,4.7,52.5,7,TremblingAspen,NorthernFlicker
4,1.6094379124341003,3,15,2,19.8,0,TremblingAspen,DownyWoodpecker
4,1.6094379124341003,5,25,5.95,20.4,15,TremblingAspen,HairyWoodpecker
4,1.6094379124341003,7.6,45,5.74,45.5,7,LodgepolePine,NorthernFlicker
4,1.6094379124341003,7.1,38,3.2,27.4,7,TremblingAspen,NorthernFlicker
4,1.6094379124341003,6.3,38,2.87,41.7,19,TremblingAspen,NorthernFlicker
4,1.3862943611198906,4.2,27,4.4,24.2,30,TremblingAspen,RedNapedSapsucker
4,1.3862943611198906,5.7,37,1.97,36.3,10,TremblingAspen,NorthernFlicker
4,1.3862943611198906,5.8,49,1.43,46.8,0,TremblingAspen,NorthernFlicker
4,1.3862943611198906,4.7,36,4.42,36,0,TremblingAspen,NorthernFlicker
4,1.3862943611198906,5.7,45,2,36.6,0,TremblingAspen,NorthernFlicker
4,1.3862943611198906,5.9,30,5.83,41.1,12,TremblingAspen,NorthernFlicker
4,1.3862943611198906,5.7,41,4.73,32.1,7,TremblingAspen,NorthernFlicker
4,1.3862943611198906,8,34,1.83,31.2,32,TremblingAspen,NorthernFlicker
4,1.0986122886681098,4,17,4.6,34.1,40,TremblingAspen,HairyWoodpecker
4,2.8903717578961645,8.7,37,2.69,30.6,7,TremblingAspen,NorthernFlicker
4,2.6390573296152584,5,22.6,3.95,29.6,8,TremblingAspen,NorthernFlicker
4,2.6390573296152584,5.9,40,5.47,38.8,0,TremblingAspen,NorthernFlicker
4,2.6390573296152584,5.2,43,2.74,29.6,10,TremblingAspen,NorthernFlicker
4,2.6390573296152584,6.7,43,3.46,36.6,16,TremblingAspen,NorthernFlicker
4,2.5649493574615367,5.1,75,1.93,58.3,16,TremblingAspen,NorthernFlicker
4,2.5649493574615367,7.4,35,4.55,40.7,12,TremblingAspen,NorthernFlicker
4,2.4849066497880004,5.5,45.5,1.67,36.6,11,TremblingAspen,NorthernFlicker
4,2.4849066497880004,7.8,51,5.28,40.4,0,TremblingAspen,NorthernFlicker
4,2.3978952727983707,6,34,2.45,19.8,0,TremblingAspen,NorthernFlicker
4,2.3978952727983707,7.2,30,2.48,22.9,3,TremblingAspen,NorthernFlicker
4,2.302585092994046,6.5,33,0.72,29,10,TremblingAspen,NorthernFlicker
4,2.302585092994046,7.4,35,4.33,34.7,100,TremblingAspen,NorthernFlicker
4,2.302585092994046,7,37,2.4,35,12,TremblingAspen,NorthernFlicker
4,2.302585092994046,11.1,43,4.71,35,0,TremblingAspen,NorthernFlicker
4,2.302585092994046,6.1,40,3.74,29.3,12,TremblingAspen,NorthernFlicker
4,2.1972245773362196,3,17,4.74,24,15,TremblingAspen,RedBreastedNuthatch
4,2.1972245773362196,8.5,43,4.06,31.8,19,TremblingAspen,NorthernFlicker
4,2.1972245773362196,6,44,2.65,30.6,8,TremblingAspen,NorthernFlicker
4,2.1972245773362196,7,34,4.85,36,5,TremblingAspen,NorthernFlicker
4,2.1972245773362196,6.7,33,3.9,53.2,0,TremblingAspen,NorthernFlicker
4,2.1972245773362196,7.6,30,2.9,21,4,TremblingAspen,NorthernFlicker
4,2.1972245773362196,6.1,51,1.83,31.5,5,TremblingAspen,NorthernFlicker
4,2.0794415416798357,4.1,23,4.11,33,0,TremblingAspen,RedNapedSapsucker
4,2.0794415416798357,2.4,11.2,3.8,18.1,10,TremblingAspen,NotExcavated
4,2.0794415416798357,3.8,14,4.68,16.1,10,TremblingAspen,NotExcavated
4,2.0794415416798357,5.5,36,0.77,31.4,4,TremblingAspen,NorthernFlicker
4,2.0794415416798357,7.5,2,1.19,32.5,9,LodgepolePine,NorthernFlicker
4,2.0794415416798357,5.5,42,2.54,33.7,0,TremblingAspen,NorthernFlicker
4,2.0794415416798357,6,35,2.8,33.7,9,TremblingAspen,NorthernFlicker
4,1.9459101490553132,3,9,3.16,21.2,3,TremblingAspen,RedBreastedNuthatch
4,1.9459101490553132,5.6,34,3.84,31.5,2,TremblingAspen,NorthernFlicker
4,1.791759469228055,7,3.5,2.5,30.5,0,TremblingAspen,NorthernFlicker
4,1.791759469228055,6.3,35,3.8,25.1,17,TremblingAspen,NorthernFlicker
4,1.791759469228055,6.7,46,4,44.6,14,TremblingAspen,NorthernFlicker
4,1.791759469228055,7,36,3.91,29.3,57,TremblingAspen,NorthernFlicker
4,1.791759469228055,7.5,28,5.64,38.5,18,TremblingAspen,NorthernFlicker
4,1.791759469228055,6.4,33,5.85,38.2,1,TremblingAspen,NorthernFlicker
4,1.791759469228055,6,34,1.66,24.5,13,TremblingAspen,NorthernFlicker
4,1.791759469228055,7,42,4.2,25.5,16,TremblingAspen,NorthernFlicker
4,1.791759469228055,5.6,38,3.38,38.2,0,TremblingAspen,NorthernFlicker
4,1.791759469228055,6,34,5.59,31.8,12,TremblingAspen,NorthernFlicker
4,1.791759469228055,5.9,28,3.42,33.7,18,TremblingAspen,NorthernFlicker
4,1.791759469228055,6.5,45,3.84,35.7,10,TremblingAspen,NorthernFlicker
4,1.791759469228055,5.8,36,1.54,21.6,53,TremblingAspen,NorthernFlicker
4,1.791759469228055,7.8,24,1.98,35.3,22,TremblingAspen,NorthernFlicker
4,1.791759469228055,6.2,42,4.49,25.1,15,TremblingAspen,NorthernFlicker
4,1.791759469228055,7.1,33,1.39,26.7,0,TremblingAspen,NorthernFlicker
4,1.6094379124341003,7.5,29,4.7,27.5,0,TremblingAspen,NorthernFlicker
4,1.6094379124341003,6,26,2.9,58.4,30,TremblingAspen,NorthernFlicker
4,1.6094379124341003,8,43,3.7,31.6,0,TremblingAspen,NorthernFlicker
4,1.6094379124341003,7.5,36,4.86,20.6,0,TremblingAspen,NorthernFlicker
4,1.6094379124341003,6.5,27,4.45,25.7,3,TremblingAspen,NorthernFlicker
4,1.6094379124341003,6.6,39,3.87,30.6,20,TremblingAspen,NorthernFlicker
4,1.6094379124341003,6.4,27,6.25,33.1,8,TremblingAspen,NorthernFlicker
4,1.6094379124341003,7.3,31,3.62,41.7,11,TremblingAspen,NorthernFlicker
4,1.6094379124341003,6.5,27,1.63,30.6,7,TremblingAspen,NorthernFlicker
4,1.6094379124341003,8.5,41,0.88,44.9,20,TremblingAspen,NorthernFlicker
4,1.6094379124341003,6.1,40,2.69,36,11,TremblingAspen,NorthernFlicker
4,1.6094379124341003,6.2,33,2.35,36.6,35,TremblingAspen,NorthernFlicker
4,1.6094379124341003,6,36,3.43,28,12,TremblingAspen,NorthernFlicker
4,1.6094379124341003,6,45,3.57,20.7,7,TremblingAspen,NorthernFlicker
4,1.6094379124341003,6,38,2.31,33.7,0,TremblingAspen,NorthernFlicker
4,1.3862943611198906,6,38,4.65,32.8,20,TremblingAspen,NorthernFlicker
4,1.3862943611198906,6.4,13,2.36,28.6,21,TremblingAspen,NorthernFlicker
4,1.3862943611198906,7,48,1.23,36.8,0,TremblingAspen,NorthernFlicker
4,1.3862943611198906,7,39,2.96,27.3,15,TremblingAspen,NorthernFlicker
4,1.3862943611198906,4,16.5,5,29.7,0,TremblingAspen,RedNapedSapsucker
4,1.3862943611198906,5.9,29,3.02,33.4,3,TremblingAspen,NorthernFlicker
4,1.3862943611198906,5.9,30,0.56,38.8,9,TremblingAspen,NorthernFlicker
4,1.3862943611198906,6,36,1.63,31.5,20,TremblingAspen,NorthernFlicker
4,1.3862943611198906,7.1,37,3.58,89.8,12,TremblingAspen,NorthernFlicker
4,1.3862943611198906,6.3,28,1.66,35.3,0,LodgepolePine,NorthernFlicker
4,1.3862943611198906,6,31,2.28,32.1,38,TremblingAspen,NorthernFlicker
4,1.3862943611198906,6,38,4.43,22,17,TremblingAspen,NorthernFlicker
4,1.3862943611198906,5.8,35,3.2,25.8,20,TremblingAspen,NorthernFlicker
4,1.3862943611198906,6.3,37,3.93,32.5,9,TremblingAspen,NorthernFlicker
4,1.3862943611198906,5.9,45,1.84,30.9,13,TremblingAspen,NorthernFlicker
4,1.3862943611198906,6.7,37,4.68,39.5,0,TremblingAspen,NorthernFlicker
4,2.9444389791664403,6.3,31,1.78,33.1,15,TremblingAspen,NorthernFlicker
4,2.772588722239781,6.2,0,1.05,27.5,5,TremblingAspen,NorthernFlicker
4,2.5649493574615367,4.9,47,2.27,33.4,4,TremblingAspen,NorthernFlicker
4,2.4849066497880004,6.6,31,1.3,23.6,0,TremblingAspen,NorthernFlicker
4,2.3978952727983707,5.7,37,3.27,33.1,119,TremblingAspen,NorthernFlicker
4,2.302585092994046,4.6,6,2.9,27.4,15,TremblingAspen,HairyWoodpecker
4,2.302585092994046,6.5,32,2.88,29,0,TremblingAspen,NorthernFlicker
4,2.1972245773362196,5.2,39,1.74,34.4,8,TremblingAspen,NorthernFlicker
4,2.1972245773362196,9,39,4.32,35.3,0,TremblingAspen,NorthernFlicker
4,2.0794415416798357,6.1,13.9,4.83,33.9,28,TremblingAspen,NorthernFlicker
4,2.0794415416798357,3.3,8.8,3.28,20.3,24,TremblingAspen,NorthernFlicker
4,2.0794415416798357,6.5,38,2.98,39.2,15,TremblingAspen,NorthernFlicker
4,2.0794415416798357,6.4,43,2.68,36.9,8,TremblingAspen,NorthernFlicker
4,1.9459101490553132,6.8,51,3.42,39.8,15,TremblingAspen,NorthernFlicker
4,1.791759469228055,6.6,43,2.67,30.9,13,TremblingAspen,NorthernFlicker
4,1.791759469228055,5.8,43,2.59,24.8,200,TremblingAspen,NorthernFlicker
4,1.791759469228055,7.5,25,4.72,36.6,8,TremblingAspen,NorthernFlicker
4,1.791759469228055,6,24,3,23.9,9,TremblingAspen,NorthernFlicker
4,1.791759469228055,7,25,3.87,31.8,16,TremblingAspen,NorthernFlicker
4,1.6094379124341003,6.1,39,1.95,46.5,3,TremblingAspen,NorthernFlicker
4,1.3862943611198906,5,24.8,1.74,46.3,0,TremblingAspen,NotExcavated
4,1.3862943611198906,6.5,35,5.48,37.9,7,TremblingAspen,NorthernFlicker
4,1.3862943611198906,6.4,46,2.4,23.9,0,TremblingAspen,NorthernFlicker
4,1.3862943611198906,6.1,46,4.98,34.1,15,TremblingAspen,NorthernFlicker
3,2.833213344056216,4.5,6,2.41,32.7,13,TremblingAspen,RedNapedSapsucker
3,2.4849066497880004,6.3,35,0.91,29.9,8,TremblingAspen,NorthernFlicker
3,2.3978952727983707,3.3,8.5,4.7,17.3,65,TremblingAspen,RedBreastedNuthatch
3,2.302585092994046,4,29.5,4.04,27.2,100,TremblingAspen,RedNapedSapsucker
3,2.1972245773362196,7,39,3.64,35.3,12,TremblingAspen,NorthernFlicker
3,2.1972245773362196,7.2,26,6.31,44.9,10,TremblingAspen,NorthernFlicker
3,2.0794415416798357,6.2,53,5,56,8,TremblingAspen,NorthernFlicker
3,1.9459101490553132,4.5,18,4.68,26.3,100,TremblingAspen,RedNapedSapsucker
3,1.791759469228055,7,40,5.12,29.8,0,TremblingAspen,NorthernFlicker
3,1.791759469228055,5,20,4.4,28.5,250,TremblingAspen,HairyWoodpecker
3,1.791759469228055,5,22,2.13,24.1,5,TremblingAspen,NorthernFlicker
3,1.791759469228055,5,26,4.16,34.7,5,TremblingAspen,HairyWoodpecker
3,1.791759469228055,3,16,3.07,23,15,TremblingAspen,DownyWoodpecker
3,1.791759469228055,6.7,37,2.17,34.4,1,TremblingAspen,NorthernFlicker
3,1.6094379124341003,4.1,20,5,22.1,0,TremblingAspen,ThreeToedWoodpecker
3,1.6094379124341003,3.5,12.6,3.25,21.3,16,TremblingAspen,DownyWoodpecker
3,1.6094379124341003,3.5,18,3.75,52.3,5,TremblingAspen,RedNapedSapsucker
3,1.6094379124341003,5.8,31,1.78,39.8,12,TremblingAspen,NorthernFlicker
3,1.3862943611198906,6.2,37,2.76,52.2,4,TremblingAspen,NorthernFlicker
3,1.3862943611198906,7.1,32,3.14,31.2,12,TremblingAspen,NorthernFlicker
3,1.0986122886681098,4,21.5,3.54,17.7,0,TremblingAspen,ThreeToedWoodpecker
3,1.0986122886681098,4.8,21.1,4.14,30.5,0,TremblingAspen,HairyWoodpecker
3,1.0986122886681098,4.5,15,3.45,22,3,TremblingAspen,DownyWoodpecker
3,1.0986122886681098,5,23,5.39,31.1,0,TremblingAspen,ThreeToedWoodpecker
3,1.0986122886681098,6.3,83,3.74,39.2,11,TremblingAspen,NorthernFlicker
3,2.9444389791664403,5.8,42,0.65,35.7,0,TremblingAspen,NorthernFlicker
3,2.833213344056216,5.8,41,2.16,33.7,0,TremblingAspen,NorthernFlicker
3,2.772588722239781,7.2,52,1.86,31.5,0,TremblingAspen,NorthernFlicker
3,2.772588722239781,6,47,2.2,42,7,TremblingAspen,NorthernFlicker
3,2.70805020110221,6.6,43,2.69,30.9,11,TremblingAspen,NorthernFlicker
3,2.6390573296152584,6.2,41,3.9,39.5,0,TremblingAspen,NorthernFlicker
3,2.6390573296152584,5.6,35,4.59,31.2,20,TremblingAspen,NorthernFlicker
3,2.5649493574615367,4,21.2,4.9,22.8,15,TremblingAspen,RedNapedSapsucker
3,2.5649493574615367,6.5,36,1.63,24.8,18,TremblingAspen,NorthernFlicker
3,2.5649493574615367,6.9,40,4.58,34.7,18,TremblingAspen,NorthernFlicker
3,2.3978952727983707,7,39,2.3,29.6,11,TremblingAspen,NorthernFlicker
3,2.3978952727983707,6.2,43,5.82,29.6,21,TremblingAspen,NorthernFlicker
3,2.3978952727983707,7.4,31,2.1,30.2,12,TremblingAspen,NorthernFlicker
3,2.302585092994046,6.3,42,6.28,27.7,10,TremblingAspen,NorthernFlicker
3,2.1972245773362196,4.3,19,3.15,28.6,25,TremblingAspen,RedNapedSapsucker
3,2.1972245773362196,5,21.5,1.68,39,5,LodgepolePine,NorthernFlicker
3,2.1972245773362196,6.3,34.5,2.2,37.7,0,TremblingAspen,NorthernFlicker
3,2.1972245773362196,3.5,22.5,3.78,31.5,25,TremblingAspen,RedNapedSapsucker
3,2.1972245773362196,5.6,43,4.17,42.7,0,TremblingAspen,NorthernFlicker
3,2.1972245773362196,6.6,47,2.03,30.9,4,TremblingAspen,NorthernFlicker
3,2.1972245773362196,6.7,36,1.93,33.7,27,TremblingAspen,NorthernFlicker
3,2.1972245773362196,6,56,4.1,47.4,5,TremblingAspen,NorthernFlicker
3,2.1972245773362196,6.3,43,1.84,30.6,17,TremblingAspen,NorthernFlicker
3,2.0794415416798357,2,7,4.04,16.7,0,TremblingAspen,RedBreastedNuthatch
3,2.0794415416798357,8,26,2.1,40.7,0,TremblingAspen,NorthernFlicker
3,2.0794415416798357,6.5,20.6,1.21,37.6,0,TremblingAspen,NorthernFlicker
3,2.0794415416798357,5.5,44,2.07,33.1,0,TremblingAspen,NorthernFlicker
3,2.0794415416798357,5.8,31,3.97,32.5,17,TremblingAspen,NorthernFlicker
3,2.0794415416798357,7.2,39,4.56,36.6,0,TremblingAspen,NorthernFlicker
3,1.9459101490553132,4,18.4,2.3,28,5,TremblingAspen,RedNapedSapsucker
3,1.9459101490553132,2.4,14.1,4.07,20.8,15,TremblingAspen,RedBreastedNuthatch
3,1.9459101490553132,4,24.2,3,21.9,30,TremblingAspen,RedNapedSapsucker
3,1.9459101490553132,3.5,11,4,26.4,70,TremblingAspen,RedNapedSapsucker
3,1.9459101490553132,3.7,14,4.2,23.8,20,TremblingAspen,RedNapedSapsucker
3,1.9459101490553132,6,42,2.37,23.2,11,TremblingAspen,NorthernFlicker
3,1.9459101490553132,7.2,29,2.6,28,22,TremblingAspen,NorthernFlicker
3,1.9459101490553132,6,29,0.98,32.8,0,TremblingAspen,NorthernFlicker
3,1.9459101490553132,6.5,33,4.16,40.7,0,TremblingAspen,NorthernFlicker
3,1.9459101490553132,7,45,5.42,40.4,23,TremblingAspen,NorthernFlicker
3,1.9459101490553132,6.4,31,3.28,26.7,6,DouglasFir,NorthernFlicker
3,1.9459101490553132,10,40,1.6,27.1,16,TremblingAspen,NorthernFlicker
3,1.9459101490553132,5.9,41,2.88,37.9,9,TremblingAspen,NorthernFlicker
3,1.9459101490553132,6,45,3.8,53.2,9,TremblingAspen,NorthernFlicker
3,1.9459101490553132,5.9,41,3.39,41.1,11,TremblingAspen,NorthernFlicker
3,1.791759469228055,3.3,11,2.52,23.3,10,TremblingAspen,DownyWoodpecker
3,1.791759469228055,5.6,94,1.65,47.8,9,TremblingAspen,NorthernFlicker
3,1.791759469228055,6,6.8,4,25.2,10,TremblingAspen,NorthernFlicker
3,1.791759469228055,6,34,1.11,30.9,15,TremblingAspen,NorthernFlicker
3,1.791759469228055,5,15,2.8,44.5,10,TremblingAspen,NorthernFlicker
3,1.791759469228055,3,6.5,3.32,22.5,30,TremblingAspen,RedBreastedNuthatch
3,1.791759469228055,6.4,29,1.49,42.7,9,TremblingAspen,NorthernFlicker
3,1.791759469228055,5.8,35,4.72,22.3,11,TremblingAspen,NorthernFlicker
3,1.791759469228055,5.5,138,1.33,42.3,3,TremblingAspen,NorthernFlicker
3,1.791759469228055,8.1,29,1,46.5,0,TremblingAspen,NorthernFlicker
3,1.791759469228055,6.3,37,2.88,47.1,14,LodgepolePine,NorthernFlicker
3,1.6094379124341003,4.5,10,2.3,16.7,0,TremblingAspen,RedBreastedNuthatch
3,1.6094379124341003,6,33,3.9,32,1,TremblingAspen,NorthernFlicker
3,1.6094379124341003,3.6,24.7,5.95,38.1,15,TremblingAspen,RedNapedSapsucker
3,1.6094379124341003,6,14.6,3.2,25.8,17,TremblingAspen,NotExcavated
3,1.6094379124341003,6.4,29,6.69,43.9,52,TremblingAspen,NorthernFlicker
3,1.6094379124341003,5.1,33,1.09,29,45,TremblingAspen,NorthernFlicker
3,1.6094379124341003,6.8,32,4.08,42.3,0,TremblingAspen,NorthernFlicker
3,1.6094379124341003,5.4,44,3.44,30.2,16,TremblingAspen,NorthernFlicker
3,1.6094379124341003,8,49,5.59,50,5,TremblingAspen,NorthernFlicker
3,1.6094379124341003,5.9,20,3.4,27.4,19,TremblingAspen,NorthernFlicker
3,1.6094379124341003,7.3,29,1.64,31.2,10,LodgepolePine,NorthernFlicker
3,1.6094379124341003,8.2,41,1.39,35.7,10,TremblingAspen,NorthernFlicker
3,1.6094379124341003,6.1,42,2.17,42.3,0,TremblingAspen,NorthernFlicker
3,1.6094379124341003,6.5,32,3.69,30.9,36,TremblingAspen,NorthernFlicker
3,1.6094379124341003,6.2,34,4.1,30.2,20,TremblingAspen,NorthernFlicker
3,1.6094379124341003,6.2,37,3.57,24.8,9,TremblingAspen,NorthernFlicker
3,1.3862943611198906,2.2,13,2.9,23.1,15,TremblingAspen,RedBreastedNuthatch
3,1.3862943611198906,3.8,15.5,4.02,28.3,20,TremblingAspen,RedNapedSapsucker
3,1.3862943611198906,3.8,18.5,2.28,26.3,5,TremblingAspen,RedNapedSapsucker
